lon,lat,elev_m,dBn_nT_per_m,dBe_nT_per_m,dBz_nT_per_m
-75.4093055555417,4.465694444437086,1991.0,1605.9773997950992,494.7569002414905,-345.9130373811332
-75.40679049530074,4.465694444437086,1920.0,1785.7956362956756,533.9795027033582,-345.9130373811332
-75.40455488619766,4.465694444437086,1950.0,1972.655004804564,365.38381973055886,-345.9130373811332
-75.40203982595669,4.465694444437086,2041.0,2189.3566304026463,144.25612534688304,-345.9130373811332
-75.39952476571574,4.465694444437086,2079.0,2403.302593497803,29.614122721635553,-345.9130373811332
-75.39700970547477,4.465694444437086,2067.0,2603.388076778555,12.779535171767684,-345.9130373811332
-75.39477409637169,4.465694444437086,2139.0,2765.3053844269994,57.646674007616255,-345.9130373811332
-75.39225903613072,4.465694444437086,2227.0,2940.987234693554,147.2651028782701,-345.9130373811332
-75.38974397588976,4.465694444437086,2290.0,3079.664498468797,205.48031608678903,-346.9668976197342
-75.38722891564879,4.465694444437086,2422.0,2937.515678738996,352.2615602844779,152.85489013124743
-75.38499330654572,4.465694444437086,2482.0,2085.747366269399,1028.7718023716902,1182.2836442335365
-75.38247824630476,4.465694444437086,2354.0,2010.37793204317,1344.9502436764428,139.18932162008753
-75.37996318606379,4.465694444437086,2328.0,1826.14382064614,1411.1845480173213,-345.7264030484288
-75.37744812582282,4.465694444437086,2307.0,1606.045740278483,1371.526991497124,-345.9130373811332
-75.37521251671974,4.465694444437086,2405.0,1458.4925666328777,1208.4180053252078,-345.9130373811332
-75.37269745647878,4.465694444437086,2510.0,1338.447331570983,906.6010321073927,-345.9130373811332
-75.37018239623782,4.465694444437086,2648.0,1283.51118168858,628.1717315021422,-345.9130373811332
-75.36766733599686,4.465694444437086,2772.0,1198.386649702089,515.4987571040266,-345.9130373811332
-75.36543172689377,4.465694444437086,2766.0,1278.252988461677,491.6917631848149,-345.9130373811332
-75.36291666665281,4.465694444437086,2692.0,1368.736627347178,489.47005150632054,-345.9130373811332
-75.4093055555417,4.467653081906673,1954.0,1635.2589851544128,533.1412655480672,-345.9130373811332
-75.40679049530074,4.467653081906673,1968.0,1826.1370508143732,506.247541899569,-345.9130373811332
-75.40455488619766,4.467653081906673,2028.0,2008.3473078012657,280.15078175640264,-345.9130373811332
-75.40203982595669,4.467653081906673,2006.0,2206.724184548087,139.17228403844825,-345.9130373811332
-75.39952476571574,4.467653081906673,2040.0,2408.954714364824,99.29663489212284,-345.9130373811332
-75.39700970547477,4.467653081906673,2101.0,2624.6548367970563,119.64612100861267,-345.9130373811332
-75.39477409637169,4.467653081906673,2229.0,2849.9587103740005,210.0267143471895,-345.9130373811332
-75.39225903613072,4.467653081906673,2301.0,3126.0995869509857,406.8676184729445,-345.9130662737111
-75.38974397588976,4.467653081906673,2341.0,3406.987023466212,572.4861371388421,-385.4208252098456
-75.38722891564879,4.467653081906673,2453.0,3820.1957175360494,166.65251276262907,-161.65194565650336
