lon,lat,elev_m,dB_mGal
-75.4093055555417,4.465694444437086,1991.0,-62.01396695374095
-75.40679049530074,4.465694444437086,1920.0,-61.13528328836053
-75.40455488619766,4.465694444437086,1950.0,-60.353123190386476
-75.40203982595669,4.465694444437086,2041.0,-60.16386004221435
-75.39952476571574,4.465694444437086,2079.0,-60.800423779145675
-75.39700970547477,4.465694444437086,2067.0,-61.07412525018176
-75.39477409637169,4.465694444437086,2139.0,-60.43691649830894
-75.39225903613072,4.465694444437086,2227.0,-59.63506703667033
-75.38974397588976,4.465694444437086,2290.0,-58.8941958841408
-75.38722891564879,4.465694444437086,2422.0,-57.99548845284322
-75.38499330654572,4.465694444437086,2482.0,-57.38536989646122
-75.38247824630476,4.465694444437086,2354.0,-58.12920708301609
-75.37996318606379,4.465694444437086,2328.0,-58.58029332238502
-75.37744812582282,4.465694444437086,2307.0,-58.87912639750479
-75.37521251671974,4.465694444437086,2405.0,-59.186980554534784
-75.37269745647878,4.465694444437086,2510.0,-59.25144189086332
-75.37018239623782,4.465694444437086,2648.0,-59.57496539674924
-75.36766733599686,4.465694444437086,2772.0,-60.3307926602952
-75.36543172689377,4.465694444437086,2766.0,-60.98439212151219
-75.36291666665281,4.465694444437086,2692.0,-61.794967285781155
-75.4093055555417,4.467653081906673,1954.0,-61.613882110935585
-75.40679049530074,4.467653081906673,1968.0,-60.48362404179332
-75.40455488619766,4.467653081906673,2028.0,-59.91679936958999
-75.40203982595669,4.467653081906673,2006.0,-59.47017994635241
-75.39952476571574,4.467653081906673,2040.0,-60.04029655182314
-75.39700970547477,4.467653081906673,2101.0,-59.478898427891366
-75.39477409637169,4.467653081906673,2229.0,-58.75231292958829
-75.39225903613072,4.467653081906673,2301.0,-57.94747059929122
-75.38974397588976,4.467653081906673,2341.0,-57.440544447931174
-75.38722891564879,4.467653081906673,2453.0,-57.1019535402707
-75.38499330654572,4.467653081906673,2514.0,-57.10847054242593
-75.38247824630476,4.467653081906673,2390.0,-57.59270579836655
-75.37996318606379,4.467653081906673,2353.0,-57.99038549763429
-75.37744812582282,4.467653081906673,2330.0,-58.46029398992119
-75.37521251671974,4.467653081906673,2337.0,-58.59927697390716
-75.37269745647878,4.467653081906673,2502.0,-59.26565244925342
-75.37018239623782,4.467653081906673,2653.0,-59.3741387600967
-75.36766733599686,4.467653081906673,2806.0,-60.04588958526635
-75.36543172689377,4.467653081906673,2852.0,-60.83123246601289
-75.36291666665281,4.467653081906673,2749.0,-61.71277027904679
-75.4093055555417,4.4696117193762595,1971.0,-61.21192830693708
-75.40679049530074,4.4696117193762595,2005.0,-60.11109239620714
-75.40455488619766,4.4696117193762595,2100.0,-59.62891598572898
-75.40203982595669,4.4696117193762595,2142.0,-58.97985001214263
-75.39952476571574,4.4696117193762595,2162.0,-58.51310418176182
-75.39700970547477,4.4696117193762595,2184.0,-57.81783730951014
-75.39477409637169,4.4696117193762595,2247.0,-57.12118831392039
-75.39225903613072,4.4696117193762595,2389.0,-56.241480645023536
-75.38974397588976,4.4696117193762595,2442.0,-55.64885234715772
-75.38722891564879,4.4696117193762595,2510.0,-56.084200528843546
-75.38499330654572,4.4696117193762595,2508.0,-56.45344152492565
